t                    , id, n, n_cum
 0                   ,  1, 0,     0
 0.041666666666666664,  1, 0,     0
 0.08333333333333333 ,  1, 0,     0
 0.125               ,  1, 0,     0
 0.16666666666666666 ,  1, 0,     0
 0.20833333333333331 ,  1, 0,     0
 0.25                ,  1, 0,     0
 0.29166666666666663 ,  1, 0,     0
 0.3333333333333333  ,  1, 0,     0
 0.375               ,  1, 0,     0
 0.41666666666666663 ,  1, 0,     0
 0.4583333333333333  ,  1, 0,     0
 0.5                 ,  1, 0,     0
 0.5416666666666666  ,  1, 0,     0
 0.5833333333333333  ,  1, 0,     0
 0.625               ,  1, 0,     0
 0.6666666666666666  ,  1, 0,     0
 0.7083333333333333  ,  1, 0,     0
 0.75                ,  1, 0,     0
 0.7916666666666666  ,  1, 0,     0
 0.8333333333333333  ,  1, 0,     0
 0.875               ,  1, 0,     0
 0.9166666666666666  ,  1, 0,     0
 0.9583333333333333  ,  1, 0,     0
 1                   ,  1, 0,     0
 1.0416666666666665  ,  1, 0,     0
 1.0833333333333333  ,  1, 0,     0
 1.125               ,  1, 0,     0
 1.1666666666666665  ,  1, 0,     0
 1.2083333333333333  ,  1, 0,     0
 1.25                ,  1, 0,     0
 1.2916666666666665  ,  1, 0,     0
 1.3333333333333333  ,  1, 0,     0
 1.375               ,  1, 0,     0
 1.4166666666666665  ,  1, 0,     0
 1.4583333333333333  ,  1, 0,     0
 1.5                 ,  1, 0,     0
 1.5416666666666665  ,  1, 0,     0
 1.5833333333333333  ,  1, 0,     0
 1.625               ,  1, 0,     0
 1.6666666666666665  ,  1, 0,     0
 1.7083333333333333  ,  1, 0,     0
 1.75                ,  1, 0,     0
 1.7916666666666665  ,  1, 0,     0
 1.8333333333333333  ,  1, 0,     0
 1.875               ,  1, 0,     0
 1.9166666666666665  ,  1, 0,     0
 1.9583333333333333  ,  1, 0,     0
 2                   ,  1, 0,     0
 2.0416666666666665  ,  1, 0,     0
 2.083333333333333   ,  1, 0,     0
 2.125               ,  1, 0,     0
 2.1666666666666665  ,  1, 0,     0
 2.208333333333333   ,  1, 0,     0
 2.25                ,  1, 0,     0
 2.2916666666666665  ,  1, 0,     0
 2.333333333333333   ,  1, 0,     0
 2.375               ,  1, 0,     0
 2.4166666666666665  ,  1, 0,     0
 2.458333333333333   ,  1, 0,     0
 2.5                 ,  1, 0,     0
 2.5416666666666665  ,  1, 0,     0
 2.583333333333333   ,  1, 0,     0
 2.625               ,  1, 0,     0
 2.6666666666666665  ,  1, 0,     0
 2.708333333333333   ,  1, 0,     0
 2.75                ,  1, 0,     0
 2.7916666666666665  ,  1, 0,     0
 2.833333333333333   ,  1, 0,     0
 2.875               ,  1, 0,     0
 2.9166666666666665  ,  1, 0,     0
 2.958333333333333   ,  1, 0,     0
 3                   ,  1, 0,     0
 3.0416666666666665  ,  1, 0,     0
 3.083333333333333   ,  1, 0,     0
 3.125               ,  1, 0,     0
 3.1666666666666665  ,  1, 0,     0
 3.208333333333333   ,  1, 0,     0
 3.25                ,  1, 0,     0
 3.2916666666666665  ,  1, 0,     0
 3.333333333333333   ,  1, 0,     0
 3.375               ,  1, 0,     0
 3.4166666666666665  ,  1, 0,     0
 3.458333333333333   ,  1, 0,     0
 3.5                 ,  1, 0,     0
 3.5416666666666665  ,  1, 0,     0
 3.583333333333333   ,  1, 0,     0
 3.625               ,  1, 0,     0
 3.6666666666666665  ,  1, 0,     0
 3.708333333333333   ,  1, 0,     0
 3.75                ,  1, 0,     0
 3.7916666666666665  ,  1, 0,     0
 3.833333333333333   ,  1, 0,     0
 3.875               ,  1, 0,     0
 3.9166666666666665  ,  1, 0,     0
 3.958333333333333   ,  1, 0,     0
 4                   ,  1, 0,     0
 4.041666666666666   ,  1, 0,     0
 4.083333333333333   ,  1, 0,     0
 4.125               ,  1, 0,     0
 4.166666666666666   ,  1, 0,     0
 4.208333333333333   ,  1, 0,     0
 4.25                ,  1, 0,     0
 4.291666666666666   ,  1, 0,     0
 4.333333333333333   ,  1, 0,     0
 4.375               ,  1, 0,     0
 4.416666666666666   ,  1, 0,     0
 4.458333333333333   ,  1, 0,     0
 4.5                 ,  1, 0,     0
 4.541666666666666   ,  1, 0,     0
 4.583333333333333   ,  1, 0,     0
 4.625               ,  1, 0,     0
 4.666666666666666   ,  1, 0,     0
 4.708333333333333   ,  1, 0,     0
 4.75                ,  1, 0,     0
 4.791666666666666   ,  1, 0,     0
 4.833333333333333   ,  1, 0,     0
 4.875               ,  1, 0,     0
 4.916666666666666   ,  1, 0,     0
 4.958333333333333   ,  1, 0,     0
 5                   ,  1, 0,     0
 5.041666666666666   ,  1, 0,     0
 5.083333333333333   ,  1, 0,     0
 5.125               ,  1, 0,     0
 5.166666666666666   ,  1, 0,     0
 5.208333333333333   ,  1, 0,     0
 5.25                ,  1, 0,     0
 5.291666666666666   ,  1, 0,     0
 5.333333333333333   ,  1, 0,     0
 5.375               ,  1, 0,     0
 5.416666666666666   ,  1, 0,     0
 5.458333333333333   ,  1, 0,     0
 5.5                 ,  1, 0,     0
 5.541666666666666   ,  1, 0,     0
 5.583333333333333   ,  1, 0,     0
 5.625               ,  1, 0,     0
 5.666666666666666   ,  1, 0,     0
 5.708333333333333   ,  1, 0,     0
 5.75                ,  1, 0,     0
 5.791666666666666   ,  1, 0,     0
 5.833333333333333   ,  1, 0,     0
 5.875               ,  1, 0,     0
 5.916666666666666   ,  1, 0,     0
 5.958333333333333   ,  1, 0,     0
 6                   ,  1, 0,     0
 6.041666666666666   ,  1, 0,     0
 6.083333333333333   ,  1, 0,     0
 6.125               ,  1, 0,     0
 6.166666666666666   ,  1, 0,     0
 6.208333333333333   ,  1, 0,     0
