Piege_ID,Jour_1,Jour_2,Jour_3,Jour_4,Jour_5,Jour_6,Jour_7,Jour_8,Jour_9,Jour_10,Jour_11,Jour_12,Jour_13,Jour_14,Jour_15,Jour_16,Jour_17,Jour_18,Jour_19,Jour_20,Total
1,4.3044037730121046e-54,8.760778711188837e-13,6.040582158122743e-08,9.783755765260606e-06,0.00018044455666932417,0.001141681546575842,0.0037130038472641394,0.00825556700063016,0.014500396521614655,0.020802500262297463,0.026675871621135747,0.0317064718691168,0.03423351854540193,0.03552274890601355,0.035848806694621406,0.034053288618609935,0.03193173899961028,0.029675526789891094,0.026349750137715164,0.02307454042673642,0.3576757005063668
2,1.0689546222827984e-13,6.767769109664717e-06,0.0015073211165798927,0.018819824711341505,0.07334061663525797,0.16161787741245726,0.24912346688470224,0.3188734743855955,0.3650352913830355,0.37325653045409407,0.36433620683071744,0.3450324914774126,0.30777634638213,0.27170344843019617,0.2382969132205928,0.2002981038848805,0.16879524493532666,0.14261478518651582,0.11630501160847441,0.09445297477666012,3.811192697485187
3,1.3385319747186156e-09,0.0004726898660667853,0.026251284818109386,0.16089911888166902,0.4021185500615363,0.6571582828711713,0.8202934293348729,0.8986951104644029,0.911883254510603,0.84732639501031,0.7656014136469822,0.6797953725318825,0.5743445353288833,0.4842176667274183,0.40801878550679466,0.33117432866397556,0.2706894381168415,0.22255023212464273,0.17712072504346485,0.14076431877836462,8.779374933626524
4,10.50205013876128,50.46693724092862,53.69599082401601,41.891789822333564,31.097136861311927,22.965002944061606,16.460566979897813,12.017374468727416,8.912864727822356,6.461386197179736,4.780519903604519,3.593847351629715,2.6392514872361432,1.9761211715509845,1.502093616578535,1.1143424734012364,0.8420649029260887,0.6455142115247074,0.48261428945912027,0.3628951981406536,272.410364811092
5,4.310567785170232e-12,3.4195542005174e-05,0.0044795692789532824,0.04284037463720304,0.1412946089112829,0.2781347448562363,0.39574238320238053,0.47732431638677586,0.5216458498664049,0.5139675549935064,0.4867632841217067,0.449412777566383,0.39233023601038575,0.34002362580153006,0.2934450597867206,0.24318212401715592,0.2024001643359319,0.16911099797379,0.13654143653675027,0.10990722381024526,5.198580527639659
6,4.467053366561894e-06,0.02334424584601812,0.36325924915387126,1.122187551198415,1.843567906225214,2.28125555417411,2.34357662611256,2.226346373975462,2.0238136624964156,1.72414697074072,1.4529263419708844,1.2175083414769676,0.9798501513333779,0.7928847256739268,0.6447913343915948,0.5074224947135855,0.40373389888725253,0.3240805308877481,0.25248063098477896,0.19690679871281566,20.724087856009085
7,41.18630172461476,101.39511657409176,81.63380124363539,56.4444262026606,39.24159305683386,27.804300153302584,19.37165636831256,13.856208302878272,10.117071972541154,7.244507443924882,5.307173626305774,3.9570908551747332,2.885938641140564,2.148162732444924,1.6245271754748472,1.1997747892616577,0.903060922393786,0.6898328815247406,0.514113925468272,0.38548740955920524,417.9101460015444
8,0.003911576105849987,0.7013998212442635,3.4986903816769788,5.855132167090718,6.699812273764678,6.544501552799033,5.69968827902014,4.797793937786543,3.9720439387057893,3.142041140621455,2.494051815764651,1.988204775978215,1.5341362055175205,1.1978525110809892,0.9443103487564002,0.7232082377687867,0.561911282238856,0.44157521748311557,0.3375437930468359,0.25884781678678614,51.3966570732376
9,2.5938479515267975e-43,1.947554362573085e-13,1.79165688344027e-08,3.669430829994856e-06,7.976898768433586e-05,0.00056969091176394,0.0020271942106596516,0.004827512557806293,0.008951082602762686,0.013408462069385077,0.017806940613956754,0.021792448289379908,0.024113628815797143,0.025545803248847875,0.026247051795374114,0.02532384594645553,0.024069920716474184,0.022639859398846867,0.020318602164884902,0.01796165546215543,0.25568715513982826
10,0.0,9.580367723965947e-192,3.8041186602844e-179,1.793686919991853e-173,3.614049906585536e-170,5.5314390116633035e-168,1.7637559891719656e-166,2.2079788901307277e-165,1.5152225166496483e-164,6.440247108375345e-164,1.9985567354240476e-163,4.981341165583056e-163,1.0033033603258636e-162,1.7683534590049067e-162,2.830105539445907e-162,4.01857049044827e-162,5.355424260907247e-162,6.812053840461119e-162,8.004079241723028e-162,8.984741037032931e-162,3.955656563778673e-161
11,0.0,5.462503664775745e-61,3.6629975649059034e-40,1.0091231382553425e-32,1.4188317292356613e-28,7.067996555155909e-26,4.970317146346567e-24,1.1118035959279214e-22,1.1973138611109271e-21,7.253650953115424e-21,2.9992851302865115e-20,9.499176991643647e-20,2.3381639435666826e-19,4.885302578614458e-19,9.064099563574177e-19,1.4634918015663418e-18,2.1820715922417354e-18,3.068038747835791e-18,3.941493695395477e-18,4.788559049100928e-18,1.720596330224793e-17
12,1.0212941387583152e-120,1.8158420662928702e-19,3.1006470211790702e-12,5.846697938029806e-09,4.653559995827398e-07,8.044422778413867e-06,5.3908530256406186e-05,0.00020648656261337863,0.0005554324112955516,0.0011181680871743527,0.0018867800742348533,0.0028206404374400583,0.003693576184178967,0.004514016301755787,0.005251673864369978,0.005647021308348833,0.005900809767741935,0.0060401843254661025,0.005846367306593677,0.00552636560071247,0.049069946390758935
13,6.209647600626416e-13,1.4662494688333812e-05,0.0025351020433467338,0.027842274425689616,0.10001724784100427,0.20842209560848357,0.30862323782691725,0.3833085090958579,0.42850380739965505,0.42985925372587047,0.41307361936326464,0.38605174882520454,0.34050991990458623,0.2977159379834082,0.25891293872126225,0.21601518410847748,0.180855577818185,0.15191306199537113,0.12324022574637558,0.09962069453340988,4.3570350994616796
14,0.0,2.6226601214440036e-89,1.0405352636476582e-76,4.907760474402417e-71,9.893318814047822e-68,1.5150023033218854e-65,4.833273530795389e-64,6.053842704397137e-63,4.156800992044285e-62,1.767851657830357e-61,5.489576993480339e-61,1.3692182005478149e-60,2.759849233209299e-60,4.8682329608963293e-60,7.797955303093531e-60,1.1082754964979298e-59,1.4783834354406544e-59,1.8823973771170579e-59,2.2141263022510175e-59,2.488079560435558e-59,1.0928174070928345e-58
15,0.0,2.763056032643469e-61,9.529476920365875e-29,1.4728850091514315e-20,3.9004773471048367e-16,2.693914957344695e-13,2.304041302852443e-11,5.88611115073121e-10,6.986995834215663e-09,4.554234262220965e-08,1.993932239212471e-07,6.614446639471431e-07,1.690759399069138e-06,3.6450501446754135e-06,6.9460319881576935e-06,1.1474221673240489e-05,1.7448996710900632e-05,2.496622581135825e-05,3.257609638759623e-05,4.012739797383076e-05,0.0001397887592364631
16,0.0,3.688491209617704e-35,2.1003448219660077e-20,8.882715481693237e-15,1.2408921512552656e-11,1.3617928472335474e-09,3.315010664217919e-08,3.3276506684570255e-07,1.9006143725248814e-06,6.943251590412057e-06,1.8983075704971484e-05,4.245677969566429e-05,7.795712518196295e-05,0.00012688492929871262,0.0001893348723389369,0.00025280773895413575,0.00031914397727745517,0.00038666725614082344,0.0004349389535742041,0.0004696376765032639,0.002328023540017207
17,3.687556208177872e-30,1.8079279891111077e-11,3.301878683273783e-07,3.293981869553958e-05,0.00046469758842051113,0.0024662969438384486,0.007096563210780038,0.014419152691843564,0.023619520071568218,0.0320639199364848,0.03931955648228697,0.0450183930471378,0.047093355807094256,0.04756723039168106,0.04688538941689702,0.0436247709774776,0.04016891343222171,0.036724954494294776,0.03213300526559165,0.02777212174391318,0.4864711115261748
18,0.003867071214439603,0.6934867597283049,3.459697004600157,5.786672278925609,6.614658489127404,6.453633604018135,5.6140553802090585,4.720839328875001,3.9048461723503722,3.0865833670932243,2.44856083356236,1.9510134047076744,1.5048990690622623,1.1747286966903672,0.925933516695679,0.7090805105912488,0.5509338764429126,0.43297690553744944,0.3310123121800565,0.25388332493047444,50.62136190654219
19,24.478371835500877,79.05549258485736,70.53439760479156,50.98999201645916,36.35318268399016,26.194378788772585,18.475101572019327,13.34004271018339,9.815207904261346,7.073537840486402,5.210094701583921,3.9031008732679124,2.858377240682855,2.135381004761765,1.6201045637434737,1.1999769034550243,0.9055372410947352,0.6933303319365876,0.5177991876033567,0.3889698615134985,355.74237745096536
20,0.0,5.646198688698544e-88,5.841376208751866e-32,1.0202675870247139e-22,8.449521887518268e-18,1.1713165534843544e-14,1.6002051783946932e-12,5.773133447668284e-11,8.973918694692685e-10,7.238976587122578e-09,3.770875877328962e-08,1.4474094942808758e-07,4.182689121385034e-07,1.0011961751898271e-06,2.090555926505172e-06,3.740563914927697e-06,6.102359612213913e-06,9.300471784700925e-06,1.2842968001204999e-05,1.6641825599121188e-05,5.232885534592147e-05
21,3.886749193539939e-111,7.262826853647575e-19,7.2542017888876506e-12,1.0964347896580116e-08,7.687348004273412e-07,1.2202955863128381e-05,7.69716769004802e-05,0.0002817886364813297,0.0007317899288458982,0.0014329389568620559,0.0023646559785587364,0.003470371918430155,0.004474905825608264,0.005398389531317785,0.006210556423166345,0.0066135262718814035,0.006852606333375136,0.006961957194931957,0.006693640472596742,0.006289921593152115,0.057867003404374055
